iter	Logloss
0	0.5939288977
1	0.5323534503
2	0.4907181492
3	0.4580574601
4	0.4397988975
5	0.4162784371
6	0.399908733
7	0.3844689239
8	0.369297932
9	0.3589578163
10	0.3509308201
11	0.3388448861
12	0.3300785891
13	0.3232401645
14	0.3190582503
15	0.3156114918
16	0.3120204383
17	0.3088752431
18	0.3052673076
19	0.3022874955
20	0.2997079019
21	0.295104822
22	0.2926916902
23	0.2908100021
24	0.2888021495
25	0.2872993386
26	0.2860580178
27	0.285138446
28	0.2824498614
29	0.2799269223
30	0.2785007307
31	0.2773250209
32	0.2761078645
33	0.2742537818
34	0.2732040507
35	0.2713750191
36	0.2694593682
37	0.2687063863
38	0.267395306
39	0.2668155625
40	0.2660941681
41	0.2649428915
42	0.2641315553
43	0.263387517
44	0.2627308212
45	0.262189637
46	0.2609405954
47	0.2604622949
48	0.2593298818
49	0.258585373
50	0.2581078823
51	0.2575398448
52	0.2570354785
53	0.2562718565
54	0.2559602419
55	0.2551873241
56	0.2548224319
57	0.2542320194
58	0.253565311
59	0.2532964522
60	0.2524554491
61	0.2520871863
62	0.2514257627
63	0.2504149174
64	0.2496948066
65	0.2492860991
66	0.2488586338
67	0.2484565716
68	0.2481186863
69	0.2474093693
70	0.2469829443
71	0.2468979608
72	0.2466280169
73	0.2458531561
74	0.2453671828
75	0.2450957312
76	0.2446970556
77	0.2443706844
78	0.2435153536
79	0.2430960219
80	0.2426170012
81	0.2421834987
82	0.2411702047
83	0.2402165518
84	0.239710076
85	0.239408439
86	0.2391148748
87	0.2384375294
88	0.2374428429
89	0.2370655564
90	0.2367005651
91	0.236240331
92	0.2359833256
93	0.2354772916
94	0.2350001562
95	0.2341059748
96	0.2334233381
97	0.2329724798
98	0.2326561021
99	0.2318519393
100	0.2314383343
101	0.2309315128
102	0.230471314
103	0.2299235805
104	0.2292598618
105	0.2288841343
106	0.2278978887
107	0.2275325837
108	0.2270515591
109	0.226830232
110	0.2263494955
111	0.2259226208
112	0.2256452553
113	0.2251049065
114	0.2247283307
115	0.2243256476
116	0.2236934459
117	0.2234443389
118	0.2229574293
119	0.2225629071
120	0.2222112079
121	0.2218464134
122	0.2215614488
123	0.2211371556
124	0.2207528094
125	0.2202492962
126	0.2198188107
127	0.2193943606
128	0.2190694683
129	0.218674037
130	0.2182825013
131	0.2178294551
132	0.2174207252
133	0.2170135862
134	0.216824895
135	0.216532504
136	0.2163077791
137	0.215993362
138	0.2156558657
139	0.2154445562
140	0.2151012084
141	0.214862191
142	0.2143558465
143	0.214075757
144	0.2137771768
145	0.2133645017
146	0.213016122
147	0.2126333122
148	0.2120693384
149	0.211750544
150	0.2113714986
151	0.2110070562
152	0.210614373
153	0.2101924934
154	0.2097063376
155	0.2093853248
156	0.208930214
157	0.2086649179
158	0.2083034173
159	0.2080975127
160	0.2078008355
161	0.2074683232
162	0.2071525665
163	0.2067496096
164	0.2063758651
165	0.2061231778
166	0.2059538815
167	0.2057157683
168	0.2052720115
169	0.204910634
170	0.2046374315
171	0.2044586234
172	0.2040925517
173	0.2039758783
174	0.2036798782
175	0.2033647873
176	0.2031422966
177	0.2028867956
178	0.2025244867
179	0.2023092864
180	0.2019283972
181	0.2015221673
182	0.2011644199
183	0.2008212434
184	0.2005072328
185	0.2001085269
186	0.1998522048
187	0.1996056506
188	0.1993478001
189	0.1988668396
190	0.1984729319
191	0.198183958
192	0.1979734552
193	0.1975347607
194	0.1972149979
195	0.1969402541
196	0.1965735918
197	0.1961669298
198	0.1958433354
199	0.1955941452
200	0.1952900882
201	0.1950446943
202	0.1947376908
203	0.1941877742
204	0.1940317108
205	0.1937037295
206	0.1935370452
207	0.1932874212
208	0.1929215128
209	0.1925809131
210	0.1922826451
211	0.1919611858
212	0.1918331536
213	0.1915097865
214	0.1911137614
215	0.1906946379
216	0.1904389128
217	0.1902235604
218	0.1899771023
219	0.1896934692
220	0.1894176931
221	0.1891953081
222	0.1889720364
223	0.1887429437
224	0.188531146
225	0.1883116275
226	0.1881276178
227	0.1878800409
228	0.1876758056
229	0.1872736666
230	0.1870444794
231	0.1867769091
232	0.1863907479
233	0.1858956437
234	0.1857862925
235	0.1855279187
236	0.1852929185
237	0.1850006684
238	0.1848058904
239	0.184516342
240	0.184285079
241	0.1841341916
242	0.1838954239
243	0.1833920067
244	0.1831614239
245	0.1829666732
246	0.1827477741
247	0.182671134
248	0.1823507247
249	0.1820254194
250	0.1818352093
251	0.1815062292
252	0.1813079574
253	0.1808993684
254	0.1806190356
255	0.1803704455
256	0.1798740594
257	0.1795571935
258	0.1791781705
259	0.1788597714
260	0.1786864258
261	0.1783604899
262	0.1782523952
263	0.1779735141
264	0.1778202147
265	0.1777517709
266	0.177274962
267	0.1771093772
268	0.176944135
269	0.1766672753
270	0.1765869733
271	0.1762760197
272	0.1760585482
273	0.1757508341
274	0.175539118
275	0.1752719173
276	0.1747697757
277	0.1745034169
278	0.1742842249
279	0.1741286449
280	0.174067677
281	0.1738942626
282	0.1737261698
283	0.1735303852
284	0.1734043584
285	0.173263415
286	0.1730160157
287	0.1727748312
288	0.1724514129
289	0.1723253061
290	0.1720691761
291	0.1717779167
292	0.171515644
293	0.1713635835
294	0.1711950346
295	0.17104392
296	0.1709347529
297	0.1707513161
298	0.1705313847
299	0.1703829461
