iter	Passed	Remaining
0	168	50297
1	183	27327
2	199	19726
3	215	15927
4	231	13657
5	248	12184
6	267	11215
7	284	10398
8	301	9755
9	328	9533
10	349	9189
11	366	8803
12	386	8531
13	404	8270
14	425	8090
15	444	7883
16	463	7717
17	481	7547
18	498	7367
19	524	7340
20	542	7212
21	561	7099
22	578	6970
23	596	6864
24	614	6763
25	635	6701
26	653	6608
27	672	6531
28	692	6469
29	710	6397
30	737	6396
31	757	6346
32	777	6294
33	800	6263
34	819	6207
35	839	6155
36	860	6118
37	884	6099
38	908	6083
39	930	6049
40	953	6023
41	970	5959
42	989	5916
43	1009	5871
44	1027	5824
45	1045	5775
46	1063	5722
47	1082	5682
48	1101	5641
49	1123	5618
50	1153	5631
51	1172	5591
52	1190	5547
53	1210	5516
54	1228	5470
55	1246	5429
56	1264	5388
57	1282	5350
58	1301	5314
59	1323	5294
60	1342	5258
61	1359	5218
62	1377	5183
63	1395	5147
64	1413	5111
65	1433	5082
66	1454	5058
67	1473	5026
68	1490	4989
69	1508	4956
70	1526	4923
71	1543	4887
72	1563	4862
73	1582	4833
74	1599	4797
75	1616	4764
76	1633	4731
77	1654	4710
78	1674	4684
79	1692	4654
80	1710	4624
81	1729	4599
82	1759	4599
83	1784	4587
84	1807	4572
85	1827	4547
86	1849	4529
87	1874	4516
88	1902	4511
89	1924	4489
90	1948	4475
91	1969	4451
92	1998	4449
93	2018	4423
94	2036	4394
95	2057	4371
96	2087	4368
97	2112	4354
98	2133	4331
99	2151	4303
100	2171	4278
101	2189	4250
102	2207	4221
103	2229	4201
104	2250	4180
105	2268	4151
106	2287	4125
107	2305	4098
108	2325	4075
109	2344	4050
110	2367	4031
111	2388	4009
112	2412	3992
113	2431	3966
114	2447	3937
115	2467	3913
116	2488	3891
117	2505	3864
118	2522	3837
119	2541	3811
120	2559	3786
121	2580	3764
122	2599	3740
123	2619	3718
124	2639	3694
125	2658	3670
126	2676	3646
127	2695	3622
128	2713	3597
129	2734	3575
130	2753	3552
131	2771	3526
132	2790	3504
133	2812	3483
134	2832	3461
135	2849	3435
136	2869	3414
137	2891	3394
138	2909	3370
139	2932	3351
140	2954	3331
141	2973	3308
142	2991	3284
143	3012	3264
144	3033	3242
145	3051	3219
146	3069	3194
147	3090	3174
148	3112	3153
149	3130	3130
150	3151	3109
151	3168	3085
152	3187	3062
153	3214	3047
154	3232	3023
155	3251	3001
156	3269	2978
157	3286	2953
158	3303	2929
159	3321	2906
160	3341	2884
161	3365	2866
162	3382	2843
163	3401	2820
164	3421	2799
165	3438	2775
166	3458	2754
167	3477	2731
168	3496	2710
169	3516	2688
170	3535	2667
171	3556	2646
172	3579	2627
173	3601	2608
174	3632	2594
175	3660	2578
176	3685	2561
177	3711	2543
178	3736	2525
179	3756	2504
180	3777	2483
181	3806	2467
182	3834	2451
183	3858	2432
184	3882	2413
185	3910	2396
186	3936	2378
187	3956	2357
188	3977	2336
189	4000	2316
190	4028	2299
191	4060	2283
192	4085	2265
193	4113	2247
194	4135	2226
195	4160	2207
196	4186	2189
197	4217	2172
198	4237	2150
199	4260	2130
200	4282	2109
201	4305	2088
202	4329	2068
203	4350	2047
204	4371	2025
205	4404	2009
206	4434	1992
207	4454	1970
208	4473	1947
209	4493	1925
210	4512	1903
211	4537	1883
212	4553	1859
213	4572	1837
214	4593	1815
215	4614	1794
216	4635	1772
217	4655	1751
218	4674	1728
219	4693	1706
220	4713	1684
221	4732	1662
222	4752	1641
223	4772	1619
224	4791	1597
225	4809	1574
226	4837	1555
227	4870	1538
228	4894	1517
229	4916	1496
230	4935	1474
231	4951	1451
232	4968	1428
233	4992	1408
234	5011	1386
235	5029	1363
236	5050	1342
237	5069	1320
238	5091	1299
239	5112	1278
240	5131	1256
241	5148	1233
242	5165	1211
243	5187	1190
244	5206	1168
245	5226	1147
246	5247	1125
247	5277	1106
248	5294	1084
249	5312	1062
250	5332	1040
251	5353	1019
252	5369	997
253	5387	975
254	5407	954
255	5426	932
256	5446	911
257	5464	889
258	5485	868
259	5503	846
260	5521	825
261	5541	803
262	5560	782
263	5578	760
264	5595	739
265	5614	717
266	5631	696
267	5658	675
268	5677	654
269	5695	632
270	5710	611
271	5728	589
272	5748	568
273	5768	547
274	5788	526
275	5807	504
276	5833	484
277	5853	463
278	5872	441
279	5890	420
280	5913	399
281	5931	378
282	5948	357
283	5967	336
284	5986	315
285	6004	293
286	6028	273
287	6049	252
288	6074	231
289	6093	210
290	6111	189
291	6133	168
292	6154	147
293	6171	125
294	6188	104
295	6206	83
296	6226	62
297	6245	41
298	6263	20
299	6281	0
